,AccountSubType,AccountType,AcctNum,Active,Classification,CurrencyRef,CurrentBalance,CurrentBalanceWithSubAccounts,Description,FullyQualifiedName,Id,MetaData,Name,SubAccount,SyncToken,domain,sparse
name,AdvertisingPromotional,Expense,,True,Expense,United States Dollar,0,0,,Advertising,97,,Advertising,False,0,QBO,False
type,AdvertisingPromotional,Expense,,True,Expense,,0,0,,Advertising,97,,Advertising,False,0,QBO,False
value,AdvertisingPromotional,Expense,,True,Expense,USD,0,0,,Advertising,97,,Advertising,False,0,QBO,False
CreateTime,AdvertisingPromotional,Expense,,True,Expense,,0,0,,Advertising,97,2023-02-24T03:01:51-08:00,Advertising,False,0,QBO,False
LastUpdatedTime,AdvertisingPromotional,Expense,,True,Expense,,0,0,,Advertising,97,2023-02-24T03:01:51-08:00,Advertising,False,0,QBO,False
name,BankCharges,Expense,,True,Expense,United States Dollar,0,0,,Bank Charges,98,,Bank Charges,False,0,QBO,False
type,BankCharges,Expense,,True,Expense,,0,0,,Bank Charges,98,,Bank Charges,False,0,QBO,False
value,BankCharges,Expense,,True,Expense,USD,0,0,,Bank Charges,98,,Bank Charges,False,0,QBO,False
CreateTime,BankCharges,Expense,,True,Expense,,0,0,,Bank Charges,98,2023-02-24T03:01:51-08:00,Bank Charges,False,0,QBO,False
LastUpdatedTime,BankCharges,Expense,,True,Expense,,0,0,,Bank Charges,98,2023-02-24T03:01:51-08:00,Bank Charges,False,0,QBO,False
name,OtherMiscellaneousServiceCost,Expense,,True,Expense,United States Dollar,0,0,,Commissions & fees,99,,Commissions & fees,False,0,QBO,False
type,OtherMiscellaneousServiceCost,Expense,,True,Expense,,0,0,,Commissions & fees,99,,Commissions & fees,False,0,QBO,False
value,OtherMiscellaneousServiceCost,Expense,,True,Expense,USD,0,0,,Commissions & fees,99,,Commissions & fees,False,0,QBO,False
CreateTime,OtherMiscellaneousServiceCost,Expense,,True,Expense,,0,0,,Commissions & fees,99,2023-02-24T03:01:51-08:00,Commissions & fees,False,0,QBO,False
LastUpdatedTime,OtherMiscellaneousServiceCost,Expense,,True,Expense,,0,0,,Commissions & fees,99,2023-02-24T03:01:51-08:00,Commissions & fees,False,0,QBO,False
name,DiscountsRefundsGiven,Income,,True,Revenue,United States Dollar,0,0,,Discounts,93,,Discounts,False,0,QBO,False
type,DiscountsRefundsGiven,Income,,True,Revenue,,0,0,,Discounts,93,,Discounts,False,0,QBO,False
value,DiscountsRefundsGiven,Income,,True,Revenue,USD,0,0,,Discounts,93,,Discounts,False,0,QBO,False
CreateTime,DiscountsRefundsGiven,Income,,True,Revenue,,0,0,,Discounts,93,2023-02-24T03:01:51-08:00,Discounts,False,0,QBO,False
LastUpdatedTime,DiscountsRefundsGiven,Income,,True,Revenue,,0,0,,Discounts,93,2023-02-24T03:01:51-08:00,Discounts,False,0,QBO,False
name,OtherMiscellaneousServiceCost,Expense,,True,Expense,United States Dollar,0,0,,Disposal Fees,120,,Disposal Fees,False,0,QBO,False
type,OtherMiscellaneousServiceCost,Expense,,True,Expense,,0,0,,Disposal Fees,120,,Disposal Fees,False,0,QBO,False
value,OtherMiscellaneousServiceCost,Expense,,True,Expense,USD,0,0,,Disposal Fees,120,,Disposal Fees,False,0,QBO,False
CreateTime,OtherMiscellaneousServiceCost,Expense,,True,Expense,,0,0,,Disposal Fees,120,2023-02-24T03:01:52-08:00,Disposal Fees,False,0,QBO,False
LastUpdatedTime,OtherMiscellaneousServiceCost,Expense,,True,Expense,,0,0,,Disposal Fees,120,2023-02-24T03:01:52-08:00,Disposal Fees,False,0,QBO,False
name,DuesSubscriptions,Expense,,True,Expense,United States Dollar,0,0,,Dues & Subscriptions,100,,Dues & Subscriptions,False,0,QBO,False
type,DuesSubscriptions,Expense,,True,Expense,,0,0,,Dues & Subscriptions,100,,Dues & Subscriptions,False,0,QBO,False
value,DuesSubscriptions,Expense,,True,Expense,USD,0,0,,Dues & Subscriptions,100,,Dues & Subscriptions,False,0,QBO,False
CreateTime,DuesSubscriptions,Expense,,True,Expense,,0,0,,Dues & Subscriptions,100,2023-02-24T03:01:51-08:00,Dues & Subscriptions,False,0,QBO,False
LastUpdatedTime,DuesSubscriptions,Expense,,True,Expense,,0,0,,Dues & Subscriptions,100,2023-02-24T03:01:51-08:00,Dues & Subscriptions,False,0,QBO,False
