Account,Type,Detail type,Description,Balance,Currency
1010 Operating Cash,Bank,Checking,,"1,056,274.89",USD
1010 Operating Cash:111025 (1012) SVB Operating #7899,Bank,Checking,SVB Checking #7899,"477,122.45",USD
1010 Operating Cash:111035 (1015) BMO Operating x0589,Bank,Checking,,"579,152.44",USD
1010 Operating Cash:111100 (1016) BMO DTCC Settlement x7858,Bank,Checking,,0,USD
1010 Operating Cash:111803 (1014) FRB Operating x4730,Bank,Checking,,0,USD
1020 Customer Cash,Bank,Checking,,"14,792,025.24",USD
1020 Customer Cash:111070 (1025) SVB Customer x7424,Bank,Checking,,"2,788,288.84",USD
1020 Customer Cash:111080 (1040) BMO Customer x6877,Bank,Cash on hand,,"12,003,736.40",USD
1020 Customer Cash:111804 (1021) FRB Customer x3110,Bank,Checking,Customer Operating Account,0,USD
1070 Excl Benefit of Customer,Bank,Cash on hand,,"136,062,318.68",USD
1070 Excl Benefit of Customer:113035 (1075) BMO Excl Bene of Cust x9367,Bank,Cash on hand,,"136,062,318.68",USD
1070 Excl Benefit of Customer:113036 (1076) BMO Special Bene of CustX0860,Bank,Checking,,0,USD
1070 Excl Benefit of Customer:113800 (1071) FRB - Excl Benefit of Cust_6148,Bank,Checking,,0,USD
111095 Bill.com Money In Clearing,Bank,Cash on hand,For payments received via Bill.com,0,USD
111095 Bill.com Money Out Clearing,Bank,Cash on hand,For payments made via Bill.com,"-41,417.41",USD
111105 (1019) BMO Euro x30089,Bank,Checking,,0,EUR
111110 (1018) BMO YEN 55533,Bank,Checking,,"-481,654,684.94",JPY
121115 (1096) Allowance for Doubtful Debt,Accounts receivable (A/R),Accounts Receivable (A/R),,"-179,648.25",USD
121210 (1098) Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R),,"1,381,410.42",USD
121220 (1099) AR Offset,Accounts receivable (A/R),Accounts Receivable (A/R),,"-723,080.00",USD
1100 Customer Debits,Other Current Assets,Other Current Assets,,"6,646,868.72",USD
1100 Customer Debits:123010 (1110) Customer Control,Other Current Assets,Other Current Assets,,"6,223,044.59",USD
1100 Customer Debits:123015 (1120) TD-SD Customer Difference,Other Current Assets,Other Current Assets,,"132,361.45",USD
1100 Customer Debits:123020 (1140) Allowance for Accounts Uncollectible,Other Current Assets,Allowance for Bad Debts,,"-139,935.40",USD
1100 Customer Debits:123030 (1150) Customer Suspense,Other Current Assets,Other Current Assets,,0,USD
1100 Customer Debits:123030 (1160) Customer ACH Wash,Other Current Assets,Other Current Assets,,0,USD
